case_number,date_time_reported,location_of_occurence,domesticdv_relationship,incident_type,criminal_offense,disposition
2018-00023746,06/05/2018 03:57:57 pm,"ROLLINS ST/ MISSOURI AVE, Columbia MO, 65201",,Not Counted For UCR,No operator's license,Cleared by Arrest Adult
2018-00023746,06/05/2018 03:57:57 pm,"ROLLINS ST/ MISSOURI AVE, Columbia MO, 65201",,Not Counted For UCR,Stop sign violation,Cleared by Arrest Adult
2018-00023708,06/05/2018 10:21:38 am,"1100 VIRGINIA AVE , Columbia MO,",,Theft Non-Motor Vehicle,STEALING FELONY A,Open - Active
2018-00023708,06/05/2018 10:21:38 am,"1100 VIRGINIA AVE , Columbia MO,",,Theft Non-Motor Vehicle,STEALING FELONY A,Open Not Active
2018-00023708,06/05/2018 10:21:38 am,"1100 VIRGINIA AVE , Columbia MO,",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open - Active
2018-00023708,06/05/2018 10:21:38 am,"1100 VIRGINIA AVE , Columbia MO,",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open Not Active
2018-00023696,06/05/2018 09:19:00 am,"1 HOSPITAL DR, Columbia MO, 65201",,All Other Offenses (Except Traffic),VIOLATION OF TERM OF EX-PARTE OR FULL ORDER OF PROTECTION,Exceptly Cleared Adult
2018-00023696,06/05/2018 09:19:00 am,"1 HOSPITAL DR, Columbia MO, 65201",,All Other Offenses (Except Traffic),VIOLATION OF TERM OF EX-PARTE OR FULL ORDER OF PROTECTION,Open - Active
2018-00023696,06/05/2018 09:19:00 am,"1 HOSPITAL DR, Columbia MO, 65201",,Motor Vehicle Theft,STEALING OF A MOTOR VEHICLE,Exceptly Cleared Adult
2018-00023696,06/05/2018 09:19:00 am,"1 HOSPITAL DR, Columbia MO, 65201",,Motor Vehicle Theft,STEALING OF A MOTOR VEHICLE,Open - Active
2018-00023696,06/05/2018 09:19:00 am,"1 HOSPITAL DR, Columbia MO, 65201",,Vandalism,TAMPERING WITH MOTOR VEHICLE - 1ST DEGREE,Exceptly Cleared Adult
2018-00023696,06/05/2018 09:19:00 am,"1 HOSPITAL DR, Columbia MO, 65201",,Vandalism,TAMPERING WITH MOTOR VEHICLE - 1ST DEGREE,Open - Active
2018-00023586,06/04/2018 05:54:21 pm,"1004 MARYLAND AVE, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open - Active
2018-00023586,06/04/2018 05:54:21 pm,"1004 MARYLAND AVE, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open Not Active
2018-00023538,06/04/2018 02:19:34 pm,"1004 MARYLAND AVE, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open - Active
2018-00023538,06/04/2018 02:19:34 pm,"1004 MARYLAND AVE, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open Not Active
2018-00023456,06/03/2018 11:44:00 pm,"UNIVERSITY AVE/S  COLLEGE AVE, Columbia MO, 65201",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2018-00023456,06/03/2018 11:44:00 pm,"UNIVERSITY AVE/S  COLLEGE AVE, Columbia MO, 65201",,Not Counted For UCR,Improper method of making a right turn,Cleared by Arrest Adult
2018-00023374,06/03/2018 04:27:08 pm,"CHAMPIONS DR/ MICK DEAVER MEMORIAL DR, Columbia MO, 65201",,Not Counted For UCR,No operator's license,Cleared by Arrest Adult
2018-00023374,06/03/2018 04:27:08 pm,"CHAMPIONS DR/ MICK DEAVER MEMORIAL DR, Columbia MO, 65201",,Not Counted For UCR,Operating an unlicensed motor vehicle,Cleared by Arrest Adult
2018-00023359,06/03/2018 12:11:00 pm,"HITT ST/ROLLINS ST , Columbia MO,",,Not Counted For UCR,OPERATED VEH ON HWY WHILE DR LIC/PRIV REVOKED(SUSP FTA/FTP),Cleared by Arrest Adult
2018-00023282,06/03/2018 12:23:00 am,"LOCUST ST/S  6TH ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2018-00023282,06/03/2018 12:23:00 am,"LOCUST ST/S  6TH ST, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Cleared by Arrest Adult
2018-00023282,06/03/2018 12:23:00 am,"LOCUST ST/S  6TH ST, Columbia MO, 65201",,Not Counted For UCR,WARRANT-MISD.,Cleared by Arrest Adult
2018-00023282,06/03/2018 12:23:00 am,"LOCUST ST/S  6TH ST, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
2018-00023230,06/02/2018 03:25:15 pm,"1 HOSPITAL DR, Columbia MO, 65201",,Vandalism,PROPERTY DAMAGE 2ND DEGREE,Exceptly Cleared Adult
2018-00023230,06/02/2018 03:25:15 pm,"1 HOSPITAL DR, Columbia MO, 65201",,Vandalism,PROPERTY DAMAGE 2ND DEGREE,Open - Active
2018-00023211,06/02/2018 10:41:20 am,"1115 UNIVERSITY AVE, Columbia MO, 65201",,Vandalism,Second degree property damage,Open - Active
2018-00023211,06/02/2018 10:41:20 am,"1115 UNIVERSITY AVE, Columbia MO, 65201",,Vandalism,Second degree property damage,Open Not Active
2018-00023165,06/02/2018 12:59:00 am,"ELM/HITT , Columbia MO,",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2018-00023165,06/02/2018 12:59:00 am,"ELM/HITT , Columbia MO,",,Not Counted For UCR,Improper method of making a left turn,Cleared by Arrest Adult
2018-00023149,06/01/2018 09:26:36 pm,"1000 ELM ST, Columbia MO, 65201",,Vandalism,PROPERTY DAMAGE 1ST DEGREE,Exceptly Cleared Adult
2018-00023149,06/01/2018 09:26:36 pm,"1000 ELM ST, Columbia MO, 65201",,Vandalism,PROPERTY DAMAGE 1ST DEGREE,Open - Active
2018-00023081,06/01/2018 09:43:22 am,"315 BUSINESS 70 LOOP, Columbia MO, 65203",,Theft Non-Motor Vehicle,STEALING - $750 OR MORE D FEL,Open - Active
2018-00023081,06/01/2018 09:43:22 am,"315 BUSINESS 70 LOOP, Columbia MO, 65203",,Theft Non-Motor Vehicle,STEALING - $750 OR MORE D FEL,Open Not Active
2018-00023022,06/01/2018 12:57:00 am,"1000 ELM ST, Columbia MO, 65201",,Driving Under The Influence,DRIVING WHILE INTOXICATED,Cleared by Arrest Adult
2018-00023022,06/01/2018 12:57:00 am,"1000 ELM ST, Columbia MO, 65201",,Forgery and Counterfeiting,POSSESS REPRODUCED/ALTERED LICENSE/I.D. CARD SHOWING OVER 21,Cleared by Arrest Adult
2018-00023022,06/01/2018 12:57:00 am,"1000 ELM ST, Columbia MO, 65201",,Not Counted For UCR,OPERATED MOTOR VEHICLE IN A CARELESS AND IMPRUDENTMANNER - DID NOT RESULT IN AN ACCIDENT,Cleared by Arrest Adult
2018-00022999,05/31/2018 10:33:00 pm,"ROSEMARY/COLLEGE , Columbia MO,",,Not Counted For UCR,Failure to drive within a single lane,Cleared by Arrest Adult
2018-00022999,05/31/2018 10:33:00 pm,"ROSEMARY/COLLEGE , Columbia MO,",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
2018-00022999,05/31/2018 10:33:00 pm,"ROSEMARY/COLLEGE , Columbia MO,",,"Possession Marijuana, Hashish, etc.",Possession of drug paraphernalia,Cleared by Arrest Adult
2018-00022637,05/30/2018 01:57:00 am,"STADIUM BLVD/ MICK DEAVER MEMORIAL DR, Columbia MO, 65201",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2018-00022637,05/30/2018 01:57:00 am,"STADIUM BLVD/ MICK DEAVER MEMORIAL DR, Columbia MO, 65201",,Not Counted For UCR,Improper method of making a right turn,Cleared by Arrest Adult
2018-00022617,05/30/2018 12:01:00 am,"6TH ST/ CONLEY AVE, Columbia MO, 65201",,Not Counted For UCR,OPERATED VEH ON HWY WHILE DR LIC/PRIV REVOKED(SUSP FTA/FTP),Cleared by Arrest Adult
2018-00022575,05/29/2018 12:12:36 pm,"601 TURNER AVE, Columbia MO, 65201",,All Other Offenses (Except Traffic),Failure to report an accident,Cleared by Arrest Adult
2018-00022564,05/29/2018 09:12:22 am,"518 HITT ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open - Active
2018-00022564,05/29/2018 09:12:22 am,"518 HITT ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open Not Active
2018-00022510,05/28/2018 08:17:00 pm,"STEWART RD/S  5TH ST, Columbia MO, 65203",,All Other Offenses (Except Traffic),TRESPASS 1ST DEGREE,Cleared by Arrest Adult
2018-00022433,05/28/2018 12:24:00 am,"PROVIDENCE/DEAVER , Columbia MO,",,Not Counted For UCR,Operating an unlicensed motor vehicle,Cleared by Arrest Adult
2018-00022433,05/28/2018 12:24:00 am,"PROVIDENCE/DEAVER , Columbia MO,",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
2018-00022433,05/28/2018 12:24:00 am,"PROVIDENCE/DEAVER , Columbia MO,",,"Possession Marijuana, Hashish, etc.",Possession of drug paraphernalia,Cleared by Arrest Adult
2018-00022326,05/27/2018 02:35:00 am,"LOCUST ST/S  9TH ST, Columbia MO, 65201",,Not Counted For UCR,OP MTR VEH ON HWY DRI LIC SUSP FOR NONPAY OF CHILD SUPPORT,Cleared by Arrest Adult
2018-00022316,05/26/2018 11:58:00 pm,"PROVIDENCE RD/E  STADIUM BLVD, Columbia MO, 65203",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
2018-00022289,05/26/2018 02:47:25 pm,"TIGER/ ROLLINS , Columbia MO,",,Not Counted For UCR,Driving Under Suspension,Cleared by Arrest Adult
2018-00022289,05/26/2018 02:47:25 pm,"TIGER/ ROLLINS , Columbia MO,",,Not Counted For UCR,Speeding,Cleared by Arrest Adult
2018-00022221,05/26/2018 02:51:00 am,"2700 PROVIDENCE RD, Columbia MO, 65203",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2018-00022221,05/26/2018 02:51:00 am,"2700 PROVIDENCE RD, Columbia MO, 65203",,Not Counted For UCR,Failure to drive within a single lane,Cleared by Arrest Adult
2018-00022200,05/25/2018 10:33:00 pm,"COLLEGE AVE/ ROLLINS ST, Columbia MO, 65201",,Driving Under The Influence,DRIVING WHILE INTOXICATED,Cleared by Arrest Adult
2018-00022200,05/25/2018 10:33:00 pm,"COLLEGE AVE/ ROLLINS ST, Columbia MO, 65201",,Not Counted For UCR,OPERATED MOTOR VEHICLE IN A CARELESS AND IMPRUDENTMANNER - DID NOT RESULT IN AN ACCIDENT,Cleared by Arrest Adult
2018-00022198,05/25/2018 09:39:00 pm,"9TH ST/ ELM ST, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
2018-00022198,05/25/2018 09:39:00 pm,"9TH ST/ ELM ST, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of drug paraphernalia,Cleared by Arrest Adult
2018-00022170,05/25/2018 02:27:41 pm,"1 HOSPITAL DR, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Cleared by Arrest Adult
2018-00022170,05/25/2018 02:27:41 pm,"1 HOSPITAL DR, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open - Active
2018-00022103,05/25/2018 01:50:00 am,"CONLEY/TIGER , Columbia MO,",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2018-00022103,05/25/2018 01:50:00 am,"CONLEY/TIGER , Columbia MO,",,Not Counted For UCR,Failure to signal,Cleared by Arrest Adult
2018-00022090,05/24/2018 11:59:00 pm,"4TH ST/ CHERRY ST, Columbia MO, 65201",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2018-00022090,05/24/2018 11:59:00 pm,"4TH ST/ CHERRY ST, Columbia MO, 65201",,Not Counted For UCR,Stop sign violation,Cleared by Arrest Adult
2018-00022056,05/24/2018 07:12:29 pm,"1000 ELM ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open - Active
2018-00022056,05/24/2018 07:12:29 pm,"1000 ELM ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open Not Active
2018-00022006,05/24/2018 12:06:10 pm,"1 HOSPITAL DR, Columbia MO, 65201",,Not Counted For UCR,IMMUNITY FROM LIABILITY SEEKING/OBTAINING MEDICAL ASSISTANCE,Closed Inactive
2018-00022006,05/24/2018 12:06:10 pm,"1 HOSPITAL DR, Columbia MO, 65201",,Not Counted For UCR,IMMUNITY FROM LIABILITY SEEKING/OBTAINING MEDICAL ASSISTANCE,Exceptly Cleared Adult
2018-00021996,05/24/2018 10:31:37 am,"MOI , Columbia MO,",,Theft Non-Motor Vehicle,Stealing,Open - Active
2018-00021996,05/24/2018 10:31:37 am,"MOI , Columbia MO,",,Theft Non-Motor Vehicle,Stealing,Open Not Active
2018-00021987,05/24/2018 09:23:07 am,"1000 ELM ST, Columbia MO, 65201",,Motor Vehicle Theft,STEALING OF A MOTOR VEHICLE,Cleared by Arrest Adult
2018-00021987,05/24/2018 09:23:07 am,"1000 ELM ST, Columbia MO, 65201",,Motor Vehicle Theft,STEALING OF A MOTOR VEHICLE,Open - Active
2018-00021930,05/24/2018 01:48:00 am,"COLLEGE AVE/ UNIVERSITY AVE, Columbia MO, 65201",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2018-00021930,05/24/2018 01:48:00 am,"COLLEGE AVE/ UNIVERSITY AVE, Columbia MO, 65201",,Not Counted For UCR,Steady red light,Cleared by Arrest Adult
2018-00021923,05/24/2018 12:35:00 am,"SOUTHPARK DR/S  COLLEGE AVE, Columbia MO, 65201",,Not Counted For UCR,WARRANT-MISD.,Cleared by Arrest Adult
2018-00021844,05/23/2018 03:49:00 pm,"PARKING STRUCTURE 7 , Columbia MO,",,Vandalism,PROPERTY DAMAGE 2ND DEGREE,Open - Active
2018-00021844,05/23/2018 03:49:00 pm,"PARKING STRUCTURE 7 , Columbia MO,",,Vandalism,PROPERTY DAMAGE 2ND DEGREE,Open Not Active
2018-00021739,05/23/2018 12:49:00 am,"1300 ROCK QUARRY RD, Columbia MO, 65201",,Liquor Laws,Purchase or possession of intoxicants by minor,Cleared by Arrest Adult
2018-00021739,05/23/2018 12:49:00 am,"1300 ROCK QUARRY RD, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of drug paraphernalia,Cleared by Arrest Adult
2018-00021680,05/22/2018 07:19:00 pm,"PROVIDENCE RD/ LOCUST ST, Columbia MO, 65203",,Not Counted For UCR,Operating an unlicensed motor vehicle,Cleared by Arrest Adult
2018-00021680,05/22/2018 07:19:00 pm,"PROVIDENCE RD/ LOCUST ST, Columbia MO, 65203",,"Possession Marijuana, Hashish, etc.",Possession of drug paraphernalia,Cleared by Arrest Adult
2018-00021679,05/22/2018 06:43:00 pm,"WAUGH ST/ LOCUST ST, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
2018-00021520,05/21/2018 09:39:18 pm,"ELM ST/S  5TH ST, Columbia MO, 65201",,Not Counted For UCR,Driving Under Suspension,Cleared by Arrest Adult
2018-00021422,05/21/2018 12:31:05 pm,"401 6TH ST, Columbia MO, 65201",,Vandalism,PROPERTY DAMAGE 2ND DEGREE,Open - Active
2018-00021422,05/21/2018 12:31:05 pm,"401 6TH ST, Columbia MO, 65201",,Vandalism,PROPERTY DAMAGE 2ND DEGREE,Open Not Active
2018-00021372,05/21/2018 12:25:00 am,"STADIUM BLVD/ MONK DR, Columbia MO, 65201",,Driving Under The Influence,DRIVING WHILE INTOXICATED,Cleared by Arrest Adult
2018-00021372,05/21/2018 12:25:00 am,"STADIUM BLVD/ MONK DR, Columbia MO, 65201",,Not Counted For UCR,EXCEEDED POSTED SPEED LIMIT BY 11 TO 15 MPH,Cleared by Arrest Adult
2018-00021372,05/21/2018 12:25:00 am,"STADIUM BLVD/ MONK DR, Columbia MO, 65201",,"Poss/Non-Narcotic/Barbituates, etc.",POSSESS CONTROLLED SUBSTANCE EXCEPT 35 GRAMS OR LESS MARIJUANA,Cleared by Arrest Adult
2018-00021337,05/20/2018 07:47:00 pm,"3 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,"ASSAULT - 4TH DEGREE - PURSUANT TO SUBDIVISIONS (3), (6) - SPECIAL VICTIMS",Cleared by Arrest Adult
2018-00021337,05/20/2018 07:47:00 pm,"3 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,"ASSAULT - 4TH DEGREE - PURSUANT TO SUBDIVISIONS (3), (6) - SPECIAL VICTIMS",Open - Active
2018-00021319,05/20/2018 05:42:52 pm,"1 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,"ASSAULT - 4TH DEGREE - PURSUANT TO SUBDIVISIONS (3), (6) - SPECIAL VICTIMS",Cleared by Arrest Adult
2018-00021319,05/20/2018 05:42:52 pm,"1 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,"ASSAULT - 4TH DEGREE - PURSUANT TO SUBDIVISIONS (3), (6) - SPECIAL VICTIMS",Open - Active
2018-00021094,05/19/2018 12:47:34 am,"BASS AVE/S  COLLEGE AVE, Columbia MO, 65201",,Not Counted For UCR,FAILED TO REGISTER MOTOR VEH/TRAILER ANNUALLY W/DOR,Cleared by Arrest Adult
2018-00021094,05/19/2018 12:47:34 am,"BASS AVE/S  COLLEGE AVE, Columbia MO, 65201",,Not Counted For UCR,OPERATED MOTOR VEH ON HWY WHILE DRIVERS LIC REVOKED (POINTS),Cleared by Arrest Adult
2018-00021084,05/18/2018 10:51:00 pm,"901 HITT ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open - Active
2018-00021084,05/18/2018 10:51:00 pm,"901 HITT ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Unfounded
2018-00021045,05/18/2018 03:39:12 pm,"901 COLLEGE AVE, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open - Active
2018-00021045,05/18/2018 03:39:12 pm,"901 COLLEGE AVE, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open Not Active
2018-00021000,05/18/2018 08:38:00 am,"901 COLLEGE AVE, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Cleared by Arrest Adult
2018-00021000,05/18/2018 08:38:00 am,"901 COLLEGE AVE, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open - Active
2018-00020982,05/18/2018 02:18:00 am,"OLD ROUTE K/PROVIDENCE , Columbia MO,",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2018-00020972,05/18/2018 01:16:00 am,"9TH ST/ ELM ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2018-00020963,05/17/2018 11:43:00 pm,"UNIVERSITY AVE/ HITT ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2018-00020963,05/17/2018 11:43:00 pm,"UNIVERSITY AVE/ HITT ST, Columbia MO, 65201",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2018-00020963,05/17/2018 11:43:00 pm,"UNIVERSITY AVE/ HITT ST, Columbia MO, 65201",,Not Counted For UCR,Improper lights,Cleared by Arrest Adult
2018-00020923,05/17/2018 08:02:00 pm,"HITT/LOCUST , Columbia MO,",,Driving Under The Influence,Driving While Intoxicated,Cleared by Arrest Adult
2018-00020923,05/17/2018 08:02:00 pm,"HITT/LOCUST , Columbia MO,",,Not Counted For UCR,Speeding,Cleared by Arrest Adult
2018-00020857,05/17/2018 08:34:08 am,"1 HOSPITAL DR, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Cleared by Arrest Adult
2018-00020799,05/17/2018 12:22:45 am,"STADIUM BLVD/ ASHLAND RD, Columbia MO, 65201",,Not Counted For UCR,Driving Under Suspension,Cleared by Arrest Adult
2018-00020797,05/17/2018 12:14:00 am,"COLLEGE AVE/E  STADIUM BLVD, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
2018-00020695,05/16/2018 03:23:13 pm,"902 CONLEY AVE, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open - Active
2018-00020695,05/16/2018 03:23:13 pm,"902 CONLEY AVE, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open Not Active
2018-00020671,05/16/2018 10:00:20 am,"1100 PROVIDENCE RD, Columbia MO, 65203",,Theft Non-Motor Vehicle,STEALING FELONY A,Open - Active
2018-00020671,05/16/2018 10:00:20 am,"1100 PROVIDENCE RD, Columbia MO, 65203",,Theft Non-Motor Vehicle,STEALING FELONY A,Open Not Active
2018-00020629,05/16/2018 01:49:00 am,"STADIUM BLVD/ CARRIE FRANCKE DR, Columbia MO, 0",,All Other Offenses (Except Traffic),UNLAWFUL POSSESSION OF DRUG PARAPHERNALIA - AMPHETAMINE OR METHAMPHETAMINE,Cleared by Arrest Adult
2018-00020629,05/16/2018 01:49:00 am,"STADIUM BLVD/ CARRIE FRANCKE DR, Columbia MO, 0",,Not Counted For UCR,FAILED TO DRIVE WITHIN SINGLE LANE ON ROADWAY HAVING 3 OR MORE LANES,Cleared by Arrest Adult
2018-00020629,05/16/2018 01:49:00 am,"STADIUM BLVD/ CARRIE FRANCKE DR, Columbia MO, 0",,"Poss/Non-Narcotic/Barbituates, etc.",POSSESS CONTROLLED SUBSTANCE EXCEPT 35 GRAMS OR LESS MARIJUANA,Cleared by Arrest Adult
2018-00020622,05/16/2018 01:24:00 am,"5TH ST/E  STEWART RD, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open - Active
2018-00020622,05/16/2018 01:24:00 am,"5TH ST/E  STEWART RD, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Open Not Active
2018-00020587,05/15/2018 08:53:00 pm,"TIGER/ KENTUCKY , Columbia MO,",,"Possession Marijuana, Hashish, etc.",Possession of drug paraphernalia,Cleared by Arrest Adult
2018-00020558,05/15/2018 04:40:33 pm,"3 HOSPITAL DR, Columbia MO, 65201",,Not Counted For UCR,WARRANT-FELONY,Cleared by Arrest Adult
2018-00020538,05/15/2018 02:39:10 pm,"805 ROLLINS ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open - Active
2018-00020538,05/15/2018 02:39:10 pm,"805 ROLLINS ST, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open Not Active
2018-00020532,05/15/2018 01:13:21 pm,"916 CHAMPIONS DR, Columbia MO, 65201",,Theft Non-Motor Vehicle,Stealing,Exceptly Cleared Adult
2018-00020510,05/15/2018 07:38:24 am,"811 LENIOR ST , Columbia MO,",,Burglary Breaking and Entering,BURGLARY 2ND DEGREE,Open - Active
2018-00020510,05/15/2018 07:38:24 am,"811 LENIOR ST , Columbia MO,",,Burglary Breaking and Entering,BURGLARY 2ND DEGREE,Open Not Active
2018-00020413,05/14/2018 05:03:00 pm,"551 SOUTHAMPTON DR, Columbia MO, 65203",,Offenses Against Family & Children,ABUSE OF CHILD - PARENT/GUARDIAN,Open - Active
2018-00020413,05/14/2018 05:03:00 pm,"551 SOUTHAMPTON DR, Columbia MO, 65203",,Offenses Against Family & Children,ABUSE OF CHILD - PARENT/GUARDIAN,Open Not Active
2018-00020401,05/14/2018 04:22:32 pm,"901 VIRGINIA AVE, Columbia MO, 65201",,All Other Offenses (Except Traffic),Leaving the scene/Failure to report,Open - Active
2018-00020401,05/14/2018 04:22:32 pm,"901 VIRGINIA AVE, Columbia MO, 65201",,All Other Offenses (Except Traffic),Leaving the scene/Failure to report,Open Not Active
2018-00020363,05/14/2018 11:19:19 am,"404 KEENE ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),Failure to report an accident,Open - Active
2018-00020363,05/14/2018 11:19:19 am,"404 KEENE ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),Failure to report an accident,Open Not Active
2018-00020308,05/14/2018 02:32:00 am,"800 ELM ST, Columbia MO, 65201",,Sex Offenses,Indecent exposure by knowingly exposing genitals under cirumstances likely to cause alarm,Cleared by Arrest Adult
2018-00020298,05/13/2018 11:40:00 pm,"STADIUM BLVD/S  PROVIDENCE RD, Columbia MO, 65201",,All Other Offenses (Except Traffic),False identification,Cleared by Arrest Adult
2018-00020298,05/13/2018 11:40:00 pm,"STADIUM BLVD/S  PROVIDENCE RD, Columbia MO, 65201",,Not Counted For UCR,No operator's license,Cleared by Arrest Adult
2018-00020275,05/13/2018 07:30:00 pm,"1002 MONK DR, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Cleared by Arrest Adult
2018-00020275,05/13/2018 07:30:00 pm,"1002 MONK DR, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Exceptly Cleared Adult
2018-00020275,05/13/2018 07:30:00 pm,"1002 MONK DR, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING MISDEMEANOR,Open - Active
2018-00020269,05/13/2018 04:57:00 pm,"901 COLLEGE AVE, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING - $750 OR MORE D FEL,Cleared by Arrest Adult
2018-00020269,05/13/2018 04:57:00 pm,"901 COLLEGE AVE, Columbia MO, 65201",,Theft Non-Motor Vehicle,STEALING - $750 OR MORE D FEL,Open - Active
2018-00020265,05/13/2018 02:30:00 pm,"201 9TH ST, Columbia MO, 65201",,All Other Offenses (Except Traffic),PEACE DISTURBANCE - FIRST OFFENSE,Cleared by Arrest Adult
2018-00020234,05/13/2018 07:34:27 am,"MATC , Columbia MO,",,Theft Non-Motor Vehicle,Stealing,Open - Active
2018-00020234,05/13/2018 07:34:27 am,"MATC , Columbia MO,",,Theft Non-Motor Vehicle,Stealing,Open Not Active
2018-00020193,05/12/2018 10:30:00 pm,"901 VIRGINIA AVE, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of 35 grams or less of marijuana,Cleared by Arrest Adult
2018-00020167,05/12/2018 08:42:00 pm,"3 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,"ASSAULT - 4TH DEGREE - PURSUANT TO SUBDIVISIONS (1), (2), (4), (5)",Closed Inactive
2018-00020167,05/12/2018 08:42:00 pm,"3 HOSPITAL DR, Columbia MO, 65201",,Simple Assault,"ASSAULT - 4TH DEGREE - PURSUANT TO SUBDIVISIONS (1), (2), (4), (5)",Exceptly Cleared Adult
2018-00020025,05/12/2018 12:22:00 am,"PROVIDENCE RD/ ELM ST, Columbia MO, 65203",,Not Counted For UCR,Operating an unlicensed motor vehicle,Cleared by Arrest Adult
2018-00020025,05/12/2018 12:22:00 am,"PROVIDENCE RD/ ELM ST, Columbia MO, 65203",,"Possession Marijuana, Hashish, etc.",Possession of drug paraphernalia,Cleared by Arrest Adult
2018-00020018,05/11/2018 11:33:00 pm,"PROVIDENCE RD/ CARRIE FRANCKE DR, Columbia MO, 65203",,Not Counted For UCR,DROVE VEHICLE WHILE DRIVER'S LICENSE REVOKED FOR POINTS,Cleared by Arrest Adult
2018-00020018,05/11/2018 11:33:00 pm,"PROVIDENCE RD/ CARRIE FRANCKE DR, Columbia MO, 65203",,Not Counted For UCR,WARRANT-MISD.,Cleared by Arrest Adult
2018-00020006,05/11/2018 09:31:15 pm,"1300 ROLLINS ST, Columbia MO, 65201",,"Possession Marijuana, Hashish, etc.",Possession of drug paraphernalia,Open - Active
